DRILLHOLE_NO,z_true,EASTING_GDA2020,NORTHING_GDA2020
337,12.6,630648.88,7115873.51
340,12.25,632355.72,7115250.47
341,13.0,632618.62,7118014.39
342,29.27777777777778,638636.92,7105049.53
343,15.583333333333334,631691.76,7116895.43
344,17.785714285714285,612092.88,7105371.53
345,8.333333333333334,625205.62,7105115.56
346,21.545454545454547,635339.76,7115676.45
347,33.42857142857143,622007.88,7104573.52
352,42.163333333333334,652388.01,6510537.12
356,132.1459090909091,679227.8,6519486.51
357,150.35964285714286,678518.8,6522666.51
359,132.53392857142856,651092.96,6540265.02
360,133.67555555555555,680566.2,6551446.21
361,31.2,682423.8,6519197.5
362,30.46,682885.8,6519010.52
364,4.5,680157.07,6520158.99
371,18.125,693452.07,6718940.67
372,20.166666666666668,666524.14,6723989.82
373,32.22727272727273,683616.0,6732245.71
374,29.7125,683616.0,6732245.71
375,8.571428571428571,691051.09,6713077.76
376,6.8,683069.06,6714179.65
377,13.0,671811.17,6742483.75
378,19.473684210526315,669342.98,6745795.72
379,18.15,669635.0,6758490.65
380,13.777777777777779,675255.97,6753370.63
381,22.625,672708.95,6749061.87
382,177.80826086956523,670132.48,6759508.34
383,33.8,661604.91,6745171.84
384,12.0,658461.92,6745179.71
414,21.464285714285715,649781.81,6958292.36
416,11.413461538461538,699344.04,7105832.58
417,8.098571428571429,699530.96,7104531.41
418,12.933571428571428,692124.75,7093821.47
422,25.9,685537.86,7084195.6
423,12.800000000000002,666364.78,7080283.32
424,32.90690476190476,666359.85,7079624.47
425,6.39375,666362.77,7079187.45
426,36.983666666666664,666369.0,7078204.27
427,28.4,661454.8,7078144.44
428,25.909000000000002,672541.9,7078926.47
429,20.35571428571429,662601.72,7089427.43
430,33.192142857142855,669978.95,7088175.4
431,10.186666666666666,662589.75,7088564.61
436,167.853,709133.26,6551808.15
439,120.92875000000001,690636.79,6520826.5
442,9.269166666666667,716334.23,6526013.95
443,14.1975,729398.37,6525294.15
445,46.27272727272727,707588.77,6527180.51
447,23.125,727757.36,6525539.24
448,51.59583333333333,727648.72,6525564.51
451,2.4,690585.33,6521949.21
452,2.066666666666667,690585.33,6521949.21
453,3.0333333333333337,690585.15,6521955.09
454,2.75,690585.15,6521955.09
455,2.191666666666667,690585.33,6521949.21
456,2.6333333333333333,690585.33,6521949.21
457,1.4166666666666667,690585.33,6521949.21
458,0.9750000000000001,690585.15,6521955.09
459,1.9375,690585.15,6521955.09
460,3.15,690579.08,6521956.09
461,3.4499999999999997,690585.33,6521949.21
462,33.56625,720580.4,6622459.41
463,27.736666666666668,720586.25,6622459.4
464,47.661249999999995,720586.38,6622465.61
465,94.7942857142857,720586.25,6622459.4
466,71.93299999999999,720586.38,6622465.61
468,48.58461538461539,739709.82,6614069.85
469,36.56,739709.82,6614069.85
470,301.0546875,719076.16,6588463.28
471,261.73623853211006,704166.36,6620842.6
473,257.63397129186603,702079.35,6649689.52
474,39.375,701680.21,6684782.76
476,617.8888888888889,738722.12,6721325.57
477,17.857142857142858,740083.21,6715784.82
486,4.224285714285714,727928.95,7112289.6
489,20.641666666666666,715313.9,7105691.36
490,4.791428571428571,716585.88,7105399.35
492,4.955,706957.91,7099234.34
493,17.175,724818.85,7092064.57
494,4.237,746084.0,7090275.61
495,4.463571428571428,743533.9,7081078.33
496,14.548076923076923,744302.12,7076411.66
500,18.878888888888888,713393.9,7102288.51
501,15.315000000000001,712813.75,7102849.39
503,17.414545454545454,714303.83,7107772.52
504,21.26833333333333,714192.89,7105679.42
505,5.454999999999999,716412.07,7104836.37
509,10.990625,727070.88,7112915.72
510,3.606666666666667,714433.02,7107654.33
511,12.57,713881.0,7105017.0
512,8.382,714882.0,7105333.46
513,9.1425,715024.77,7104895.44
514,11.032999999999998,717995.93,7112518.61
515,4.456250000000001,714214.87,7106217.55
516,8.075000000000001,713718.78,7104845.3
517,18.095,713313.94,7101579.56
518,26.82,715151.9,7106079.49
519,8.319999999999999,713510.9,7108287.34
520,23.206363636363633,714223.84,7108876.49
521,2.2,736530.81,7119651.45
522,1.7,736536.92,7119651.34
523,1.0625,736536.92,7119651.34
524,0.875,736537.03,7119657.54
525,1.05,736537.03,7119657.54
526,1.0,736542.94,7119657.44
527,4.025,736537.03,7119657.54
528,4.05,736542.94,7119657.44
529,3.3125,736537.03,7119657.54
530,7.725,736537.03,7119657.54
531,11.916666666666666,736537.03,7119657.54
532,15.1,736537.03,7119657.54
533,4.5,736537.03,7119657.54
534,7.166666666666667,736537.03,7119657.54
535,6.25,736537.03,7119657.54
536,10.078571428571427,712621.98,7107798.55
537,13.0625,712699.8,7107749.52
538,6.56,714344.84,7106723.31
539,14.0,713689.83,7106316.52
540,5.775,714344.84,7106723.31
556,16.9375,717188.96,7089316.55
558,9.0,744406.8,7111280.47
559,9.25,729426.92,7110702.64
560,22.125,727289.85,7108130.68
561,11.75,715590.98,7120489.6
562,15.1,717565.95,7121219.33
563,6.5,722188.9,7121071.51
564,12.9375,734757.88,7110050.61
565,14.125,728221.89,7101739.38
566,14.25,736051.99,7107179.49
567,15.0625,743004.97,7103230.37
574,23.775,780599.5,6490755.51
577,75.5911111111111,747934.44,6562257.28
578,26.580000000000002,751518.37,6536890.0
581,32.765,765702.59,6517232.51
584,36.90423076923077,770709.43,6514600.01
585,60.07380952380952,746885.4,6524642.12
588,54.095000000000006,749030.65,6523978.51
589,13.428571428571429,770136.62,6513670.3
590,43.083333333333336,765609.59,6517102.49
592,50.666666666666664,765940.5,6516068.07
594,25.1,781128.55,6556751.33
609,46.95,772745.54,6570999.25
612,193.89233333333334,779507.58,6607901.53
613,96.7880487804878,764644.6,6613065.48
627,139.91275510204082,750670.68,6658974.5
629,51.00309523809524,748726.69,6649206.51
631,49.622,750191.68,6645477.5
632,71.19,772565.35,6627421.43
634,79.58431818181818,758638.65,6678017.51
645,139.89722222222224,752533.69,6627288.54
673,17.6584375,753096.33,6684988.61
675,42.86,758568.37,6680497.68
686,23.50952380952381,751747.69,6694669.53
703,20.823529411764707,752052.7,6694094.5
705,9.928571428571429,751602.69,6694092.5
707,12.1,751277.69,6694676.52
713,8.166666666666666,794070.28,7003756.39
715,5.166666666666667,796066.15,6997183.28
719,11.017999999999999,788731.0,7064867.61
722,6.8125,791472.08,7039441.57
723,20.958333333333332,790716.01,7039433.34
724,4.0,766768.07,7063804.62
725,4.5,764837.96,7064654.36
